	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
0610007P14Rik	1582	1486	1000	1072	1030	1278
0610009B22Rik	1551	1641	1237	1063	1207	1287
0610009L18Rik	110	100	80	78	139	131
0610009O20Rik	1838	1703	1335	1169	1330	1396
0610010F05Rik	2427	2188	1606	1608	1769	2062
0610010K14Rik	629	631	464	428	480	489
0610012D04Rik	6	2	2	2	2	1
0610012G03Rik	726	760	567	531	563	604
0610025J13Rik	0	1	0	0	1	0
0610030E20Rik	971	934	744	812	905	917
0610031O16Rik	0	0	1	0	0	1
0610037L13Rik	1480	1412	1085	1052	1212	1254
0610038B21Rik	318	297	237	203	259	264
0610039K10Rik	188	163	145	115	117	137
0610040B10Rik	293	270	164	169	233	191
0610040F04Rik	98	98	86	80	83	88
0610040J01Rik	25	27	25	15	13	15
1110002E22Rik	169	176	119	57	59	76
1110002L01Rik	5155	4814	3477	3544	3972	4322
1110003F10Rik	24	20	14	7	11	15
1110004E09Rik	1255	1290	1032	1080	1180	1300
1110004F10Rik	3972	3739	2706	2736	3062	3219
1110008F13Rik	1777	1678	1292	1187	1273	1465
1110008L16Rik	160	181	154	129	129	157
1110008P14Rik	1208	1157	888	799	889	889
1110012L19Rik	614	583	444	418	485	541
1110017D15Rik	8	13	11	11	11	9
1110025L11Rik	0	0	0	0	0	0
1110025M09Rik	125	124	87	116	103	113
1110028F11Rik	0	1	0	1	1	0
1110032A03Rik	805	738	569	412	429	492
1110032F04Rik	74	74	49	35	45	58
1110034G24Rik	513	500	355	372	392	467
1110035H17Rik	75	83	69	76	71	77
1110035H17Rik-201	75	83	69	76	71	77
1110037F02Rik	4596	4157	3234	2951	3270	3471
1110038F14Rik	973	970	717	721	764	828
1110046J04Rik	95	83	85	44	59	50
1110051M20Rik	5660	5419	4146	3959	4523	4890
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	948	925	747	677	740	812
1110059G10Rik	800	765	559	547	595	643
1110060G06Rik	0	0	0	0	1	0
1110065P20Rik	571	593	413	459	496	498
1190002N15Rik	2697	2328	1762	1633	1775	2013
1190003K10Rik	0	2	0	1	0	1
1190005I06Rik	1055	940	789	710	811	849
1190007I07Rik	231	245	160	94	110	98
1300017J02Rik	33	23	23	22	27	17
1500002C15Rik	3221	2977	2281	1920	2030	2275
1500005C15Rik	4	4	2	1	2	2
1500009C09Rik	1431	1360	898	934	943	1159
1500009L16Rik	181	182	139	136	129	175
1500011B03Rik	2441	2233	1608	1587	1582	1758
1500011K16Rik	1150	1155	780	798	827	947
1500015A07Rik	614	550	394	408	506	508
1500015O10Rik	35	34	44	25	18	30
1520401A03Rik	45	22	27	21	14	19
1600002H07Rik	537	489	383	410	470	504
1600002K03Rik	377	377	260	287	367	358
1600010M07Rik	5	2	0	2	0	0
1600012H06Rik	2332	2155	1584	1567	1684	1865
1600014C10Rik	640	617	452	452	547	601
1600014C23Rik	179	165	124	127	130	159
1600015I10Rik	0	0	0	0	0	0
1600017P15Rik	26	24	23	11	22	21
1600020E01Rik	1008	1027	686	748	758	852
1600023N17Rik	50	57	39	49	53	43
